N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
265,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,282.2,11.754,35.038
266,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,283.1,11.751,35.037
267,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,284.1,11.739,35.035
268,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,285.0,11.728,35.034
269,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,285.9,11.724,35.033
270,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,286.9,11.725,35.033
271,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,287.8,11.724,35.033
272,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,288.7,11.724,35.033
273,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,289.7,11.726,35.033
274,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,290.6,11.727,35.034
275,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,291.6,11.728,35.033
276,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,292.9,11.727,35.032
277,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,294.4,11.727,35.033
278,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,295.3,11.726,35.033
279,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,296.3,11.721,35.031
280,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,297.2,11.718,35.031
281,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,298.2,11.702,35.028
282,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,299.1,11.7,35.028
283,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,300.0,11.699,35.026
284,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,301.0,11.694,35.026
285,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,301.9,11.685,35.024
286,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,302.9,11.683,35.023
287,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,303.8,11.682,35.022
288,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,304.7,11.675,35.021
289,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,305.7,11.67,35.02
