N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
218,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,345.3,0.713,34.877
219,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,347.3,0.7,34.875
220,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,349.3,0.678,34.878
221,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,351.4,0.662,34.877
222,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,353.5,0.652,34.878
223,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,355.5,0.651,34.877
224,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,357.5,0.645,34.877
225,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,359.3,0.635,34.877
226,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,361.2,0.619,34.877
227,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,363.4,0.596,34.878
228,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,365.4,0.577,34.877
229,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,367.3,0.529,34.88
230,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,369.6,0.509,34.879
231,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,371.6,0.505,34.878
232,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,373.6,0.499,34.879
233,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,375.6,0.493,34.88
234,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,377.2,0.486,34.878
235,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,379.3,0.484,34.879
236,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,381.5,0.478,34.88
237,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,383.2,0.46,34.881
238,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,385.3,0.438,34.881
239,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,387.5,0.429,34.88
240,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,389.2,0.419,34.88
241,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,391.4,0.406,34.88
242,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,393.5,0.398,34.88
243,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,395.3,0.387,34.882
244,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,397.5,0.381,34.882
245,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,399.7,0.378,34.882
246,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,401.5,0.376,34.882
247,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,403.3,0.374,34.882
248,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,405.2,0.371,34.882
249,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,407.0,0.363,34.882
250,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,409.4,0.352,34.884
251,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,411.8,0.346,34.884
252,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,413.7,0.344,34.883
253,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,415.6,0.339,34.883
254,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,417.5,0.33,34.884
255,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,419.5,0.326,34.884
256,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,421.4,0.321,34.884
257,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,423.4,0.319,34.884
258,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,425.3,0.313,34.885
259,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,427.3,0.308,34.884
260,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,429.3,0.301,34.886
261,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,431.3,0.297,34.885
262,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,433.2,0.293,34.885
263,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,435.3,0.288,34.886
264,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,437.3,0.284,34.886
265,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,439.3,0.271,34.888
266,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,441.4,0.261,34.887
267,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,443.5,0.257,34.886
268,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,445.5,0.249,34.887
269,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,447.8,0.246,34.887
270,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,449.5,0.245,34.888
271,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,451.0,0.242,34.887
272,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,453.1,0.241,34.887
273,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,455.3,0.241,34.887
274,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,457.4,0.232,34.887
275,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,459.5,0.226,34.887
276,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,461.6,0.223,34.888
277,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,463.8,0.219,34.887
278,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,465.4,0.216,34.888
279,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,467.0,0.21,34.888
280,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,469.1,0.205,34.888
281,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,471.2,0.199,34.888
282,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,473.4,0.193,34.888
283,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,475.5,0.186,34.887
284,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,477.6,0.179,34.889
285,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,479.7,0.172,34.889
286,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,481.8,0.167,34.889
287,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,483.9,0.165,34.89
288,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,485.5,0.166,34.89
289,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,487.0,0.165,34.889
